Análise do circuito

Função lógica: Circuito5Saida1=(((I or (J nand K) or (J or K)) nxor ((J nand K) nand ((J or K) or (L and M)))) nxor not((((N nand P) nand (p0 nand (P nand Q))) nand ((O nand (P nand Q)) nand ((P nand Q) nand R)))))

Tabela verdade:
+---+---+---+---+---+---+---+----+---+---+---+-----------------+
| I | J | K | L | M | N | P | p0 | Q | O | R | Circuito5Saida1 |
+---+---+---+---+---+---+---+----+---+---+---+-----------------+
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 0 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 0 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1  | 1 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 0 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 1 | 0 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 0 | 1 | 1 |        1        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 0 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 0 | 1 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 1 | 0 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0  | 1 | 1 | 1 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 0 | 0 | 0 |        0        |
| 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1  | 0 | 0 | 1 |        1        |
